file,brand,model,watch_name,dial_color,case_color,case_material,bezel,bracelet_strap,strap_material,gender,est_size_mm,shot_type,confidence
Update/Rolex_Batch02/IMG_8179.JPG,Rolex,Datejust,Datejust Blue Diamond Dial Steel White Gold Fluted Bezel Jubilee,blue,steel,steel,fluted white gold,bracelet,steel,Men,41,dial,high
Update/Rolex_Batch02/IMG_8180.JPG,Rolex,Datejust,Datejust Blue Diamond Dial Steel White Gold Fluted Bezel Jubilee,blue,steel,steel,fluted white gold,bracelet,steel,Men,41,full,high
Update/Rolex_Batch02/IMG_8181.JPG,Rolex,Datejust,Datejust Blue Diamond Dial Steel White Gold Fluted Bezel Jubilee,blue,steel,steel,fluted white gold,bracelet,steel,Men,41,full,high
Update/Rolex_Batch02/IMG_8183.JPG,Rolex,Datejust,Datejust Blue Diamond Dial Steel White Gold Fluted Bezel Jubilee,blue,steel,steel,fluted white gold,bracelet,steel,Men,41,side,high
Update/Rolex_Batch02/IMG_8184.JPG,Rolex,Datejust,Datejust Blue Diamond Dial Steel White Gold Fluted Bezel Jubilee,blue,steel,steel,fluted white gold,bracelet,steel,Men,41,caseback,high
Update/Rolex_Batch02/IMG_1103.JPG,Rolex,Datejust,Datejust White Mother-Of-Pearl Steel Diamond Bezel Jubilee,white mother-of-pearl,steel,stainless steel,diamond,jubilee,stainless steel,Unisex,36,full,high
Update/Rolex_Batch02/IMG_1104.JPG,Rolex,Datejust,Datejust Silver Steel Fluted Bezel Jubilee,silver,steel,stainless steel,fluted,jubilee,stainless steel,Unisex,36,full,medium
Update/Rolex_Batch02/IMG_1105.JPG,Rolex,Datejust,Datejust Grey Steel Fluted Bezel Jubilee,grey,steel,stainless steel,fluted,jubilee,stainless steel,Unisex,36,full,medium
Update/Rolex_Batch02/IMG_1106.JPG,Rolex,Datejust,Datejust Green Two-Tone Yellow Gold Diamond Bezel Jubilee,green,two-tone steel and yellow gold,steel and yellow gold,diamond,jubilee,steel and yellow gold,Unisex,36,full,high
Update/Rolex_Batch02/IMG_1107.JPG,Rolex,Datejust,Datejust Black Two-Tone Yellow Gold Fluted Bezel Jubilee,black,two-tone steel and yellow gold,steel and yellow gold,fluted,jubilee,steel and yellow gold,Men,41,full,high
Update/Rolex_Batch02/IMG_1108.JPG,Rolex,Day-Date,Day-Date Blue White Gold Fluted Bezel President,blue,white gold,white gold,fluted,president,white gold,Men,40,full,high
Update/Rolex_Batch02/IMG_1109.JPG,Rolex,Datejust,Datejust Black Two-Tone Diamond Bezel Jubilee,black,two-tone steel and gold,steel and gold,diamond,jubilee,steel and gold,Unisex,36,full,medium
Update/Rolex_Batch02/IMG_1110.JPG,Rolex,Datejust,Datejust Chocolate Two-Tone Everose Fluted Bezel Jubilee,chocolate,two-tone steel and everose gold,steel and everose gold,fluted,jubilee,steel and everose gold,Unisex,36,full,high
Update/Rolex_Batch02/IMG_1111.JPG,Rolex,Datejust,Datejust Grey Two-Tone Everose Fluted Bezel Jubilee,grey,two-tone steel and everose gold,steel and everose gold,fluted,jubilee,steel and everose gold,Unisex,36,full,medium
Update/Rolex_Batch02/IMG_1113.JPG,Rolex,Yacht-Master,Yacht-Master Blue Steel Platinum Bezel Oyster,blue,steel,stainless steel,platinum,oyster,stainless steel,Men,40,full,high
Update/Rolex_Batch02/IMG_1114.JPG,Rolex,Datejust,Datejust Black Steel Fluted Bezel Jubilee,black,steel,stainless steel,fluted,jubilee,stainless steel,Men,41,full,medium
Update/Rolex_Batch02/IMG_1117.JPG,Patek Philippe,Nautilus,Nautilus Annual Calendar Moonphase Steel Bracelet,blue,steel,stainless steel,fixed,bracelet,stainless steel,Men,40,other,high
Update/Rolex_Batch02/IMG_1120.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Yellow Gold Tachymeter Bezel Oyster,green,yellow gold,yellow gold,tachymeter,oyster,yellow gold,Men,40,other,high
Update/Rolex_Batch02/IMG_1121.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Yellow Gold Tachymeter Bezel Oyster,green,yellow gold,yellow gold,tachymeter,oyster,yellow gold,Men,40,other,high
Update/Rolex_Batch02/IMG_1135.JPG,Rolex,Yacht-Master,Yacht-Master Rhodium Steel Platinum Bezel Oyster,rhodium,steel,stainless steel,platinum,oyster,stainless steel,Men,40,other,high
Update/Rolex_Batch02/IMG_1136.JPG,IWC,Portugieser Perpetual Calendar,Portugieser Perpetual Calendar Black Rose Gold Leather Strap,black,rose gold,rose gold,fixed,strap,leather,Men,44,other,high
Update/Rolex_Batch02/IMG_1137.JPG,Jaeger-LeCoultre,Master Ultra Thin Perpetual Calendar,Master Ultra Thin Perpetual Calendar Silver Steel Leather Strap,silver,steel,stainless steel,fixed,strap,leather,Men,39,other,high
Update/Rolex_Batch02/IMG_1138.JPG,Richard Mille,RM 056,Sapphire Tourbillon Skeleton White Rubber Strap,skeleton,transparent,sapphire crystal,fixed,strap,rubber,Men,50,other,medium
Update/Rolex_Batch03/IMG_2976.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_2977.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch03/IMG_2978.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,side,high
Update/Rolex_Batch03/IMG_2979.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,side,high
Update/Rolex_Batch03/IMG_2980.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,side,high
Update/Rolex_Batch03/IMG_2981.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,side,high
Update/Rolex_Batch03/IMG_2982.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,caseback,high
Update/Rolex_Batch03/IMG_2983.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Steel Grey Dial White Gold Black Ceramic Bezel Oysterflex,Grey,White,White Gold,Black Ceramic Tachymeter,Oysterflex Strap,Rubber,Men,40,bracelet,high
Update/Rolex_Batch03/IMG_2985.JPG,Rolex,Submariner,Submariner Green Dial Yellow Gold Green Baguette Bezel Diamond Set Bracelet,Green,Yellow,Yellow Gold,Green Baguette Gem Set,Diamond Set Oyster Bracelet,Yellow Gold,Men,40,full,high
