sku,brand,model,watch_name,dial_color,case_material,bezel,bracelet_strap,strap_material,gender,est_size_mm,num_photos,status,folder
AP-006,Audemars Piguet,Royal Oak,Royal Oak Blue Tapisserie Dial Steel Octagonal Bezel Integrated Bracelet,Blue,Stainless Steel,Steel Octagonal,Bracelet,Stainless Steel,Men,41,17,web_ready,Audemars Piguet/Royal Oak/Royal Oak Blue Tapisserie Dial Steel Octagonal Bezel Integrated Bracelet
AP-007,Audemars Piguet,Royal Oak,Royal Oak Chronograph Blue Dial Steel Sapphire Set Bezel Bracelet,Blue,Stainless Steel,Blue Sapphire Set,Bracelet,Stainless Steel,Men,41,19,web_ready,Audemars Piguet/Royal Oak/Royal Oak Chronograph Blue Dial Steel Sapphire Set Bezel Bracelet
AP-013,Audemars Piguet,Royal Oak,Royal Oak Yellow Gold Skeleton Caseback,,Yellow Gold,Octagonal,Bracelet,Yellow Gold,Men,41,17,web_ready,Audemars Piguet/Royal Oak/Royal Oak Yellow Gold Skeleton Caseback
IWC-006,IWC,Pilot's Watch,Pilot's Watch Automatic Blue Ceramic Blue Dial Textile Strap,Blue,Ceramic,Ceramic,Strap,Textile,Men,41,9,web_ready,IWC/Pilot's Watch/Pilot's Watch Automatic Blue Ceramic Blue Dial Textile Strap
OMG-013,Omega,Seamaster Aqua Terra,Seamaster Aqua Terra Steel Bracelet Clasp Logo Detail,,Stainless Steel,Smooth Steel,Bracelet,Stainless Steel,Men,41,13,web_ready,Omega/Seamaster Aqua Terra/Seamaster Aqua Terra Steel Bracelet Clasp Logo Detail
OMG-015,Omega,Seamaster Aqua Terra,Seamaster Aqua Terra Worldtimer Blue Dial Steel Blue Rubber Strap,Blue,Stainless Steel,Smooth,Strap,Rubber,Men,43,14,web_ready,Omega/Seamaster Aqua Terra/Seamaster Aqua Terra Worldtimer Blue Dial Steel Blue Rubber Strap
OMG-016,Omega,Seamaster Aqua Terra,Seamaster Aqua Terra Worldtimer Blue Dial Steel Bracelet,Blue,Stainless Steel,Smooth,Bracelet,Stainless Steel,Men,43,14,web_ready,Omega/Seamaster Aqua Terra/Seamaster Aqua Terra Worldtimer Blue Dial Steel Bracelet
OMG-022,Omega,Speedmaster,Speedmaster Professional Moonwatch Black Dial Steel Black Bezel,Black,Stainless Steel,Black Tachymeter,Bracelet,Stainless Steel,Men,42,16,web_ready,Omega/Speedmaster/Speedmaster Professional Moonwatch Black Dial Steel Black Bezel
PP-002,Patek Philippe,Calatrava,Calatrava Black Dial Steel Black Strap,Black,Stainless Steel,Smooth,Strap,Leather,Men,40,12,web_ready,Patek Philippe/Calatrava/Calatrava Black Dial Steel Black Strap
PP-013,Patek Philippe,Nautilus,Nautilus Chronograph Blue Dial Steel Denim Strap,Blue,Stainless Steel,Steel,Strap,Denim,Men,41,13,web_ready,Patek Philippe/Nautilus/Nautilus Chronograph Blue Dial Steel Denim Strap
RM-002,Richard Mille,RM 035,RM 035 Americas Skeleton Dial Rose Gold Black Rubber Strap,Skeleton,Rose Gold,Tonneau,Strap,Rubber,Men,48,29,web_ready,Richard Mille/RM 035/RM 035 Americas Skeleton Dial Rose Gold Black Rubber Strap
RM-010,Richard Mille,RM 055,RM 055 Bubba Watson Black Ceramic Case Skeleton Dial Red Crown Black Strap,Skeleton,Ceramic,Black Ceramic,Strap,Rubber,Men,50,16,web_ready,Richard Mille/RM 055/RM 055 Bubba Watson Black Ceramic Case Skeleton Dial Red Crown Black Strap
RM-011,Richard Mille,RM 055,RM 055 Bubba Watson Black Ceramic Skeleton Dial Black Rubber Strap,Skeleton,Ceramic,Black Ceramic,Strap,Rubber,Men,50,14,web_ready,Richard Mille/RM 055/RM 055 Bubba Watson Black Ceramic Skeleton Dial Black Rubber Strap
RM-015,Richard Mille,RM 055,RM 055 Skeleton Black Ceramic Rose Gold Accents Black Rubber Strap,Skeleton,Ceramic,Black Ceramic,Strap,Rubber,Men,50,14,web_ready,Richard Mille/RM 055/RM 055 Skeleton Black Ceramic Rose Gold Accents Black Rubber Strap
