sku,status,folder,all_tags
ROL-676,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Dial Steel And Everose Gold Fluted Bezel Jubilee,Rolex;Datejust;Women;Gray;Rose Gold;Two-Tone;Bracelet;Fluted Bezel;Date;Ladies (<33mm)
ROL-699,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Dial Steel Diamond-Set Pave Bezel Oyster,Rolex;Datejust;Men;Gray;Stainless Steel;Strap;Steel;Diamond Bezel;Date;Diamond-Set;Large (41-43mm)
ROL-108,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Diamond Dial Steel and Everose Gold Fluted Jubilee,Rolex;Datejust;Women;Gray;Rose Gold;Two-Tone;Strap;Steel-Everosegold;Fluted Bezel;Date;Diamond-Set;Ladies (<33mm)
ROL-594,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Fluted Motif Dial Two-Tone Everose Gold Fluted Bezel Oyster,Rolex;Datejust;Men;Gray;Rose Gold;Two-Tone;Strap;Fluted Bezel;Date;Large (41-43mm)
ROL-319,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Grey Dial Steel Everose Fluted Bezel Jubilee,Rolex;Datejust;Women;Gray;Rose Gold;Strap;Steel-Everose;Fluted Bezel;Date;Ladies (<33mm)
ROL-672,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Roman Dial Steel And Yellow Gold Fluted Bezel Jubilee,Rolex;Datejust;Women;Gray;Yellow Gold;Two-Tone;Bracelet;Fluted Bezel;Date;Ladies (<33mm)
ROL-412,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Roman Dial Steel Fluted Bezel Jubilee,Rolex;Datejust;Men;Gray;White Gold;Two-Tone;Strap;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-258,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Roman Steel Fluted Bezel Jubilee,Rolex;Datejust;Men;Gray;Two-Tone;Strap;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-030,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Wimbledon Dial Steel Fluted Bezel Oyster Bracelet,Rolex;Datejust;Men;Gray;Stainless Steel;Bracelet;Steel;Fluted Bezel;Date;Mid (33-36mm)
ROL-690,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Wimbledon Dial Steel Fluted Bezel Pair,Rolex;Datejust;Men;Gray;Stainless Steel;Strap;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-158,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Wimbledon Dial Steel Yellow Gold Fluted Bezel Jubilee,Rolex;Datejust;Men;Gray;Two-Tone;Strap;Steel-Yellowgold;Fluted Bezel;Date;Mid (33-36mm)
ROL-142,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Wimbledon Roman Dial Steel White Gold Fluted Jubilee,Rolex;Datejust;Men;Gray;Two-Tone;Bracelet;Steel;Fluted Bezel;Date;Mid (33-36mm)
ROL-892,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Slate Wimbledon Roman Dial Two-Tone Diamond Bezel Jubilee,Rolex;Datejust;Unisex;Gray;Two-Tone;Strap;Steel And Gold;Diamond Bezel;Date;Diamond-Set;Mid (33-36mm)
ROL-664,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel And Yellow Gold Fluted Bezel Jubilee,Rolex;Datejust;Women;?;Yellow Gold;Two-Tone;Strap;Fluted Bezel;Date;Ladies (<33mm)
ROL-754,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Assortment,Rolex;Datejust;Men;Multi;Stainless Steel;Strap;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-722,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Diamond Dial Fluted Bezel Jubilee,Rolex;Datejust;Unisex;Mixed;Stainless Steel;Bracelet;Steel;Fluted Bezel;Date;Diamond-Set;Mid (33-36mm)
ROL-257,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Fluted Bezel Crown Side,Rolex;Datejust;Men;?;Two-Tone;Strap;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-427,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Fluted Bezel Jubilee Collection,Rolex;Datejust;Men;Multi;Stainless Steel;Bracelet;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-669,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Fluted White Gold Bezel Jubilee 2,Rolex;Datejust;Men;Unknown;Stainless Steel;Strap;Steel;Fluted Bezel;Date;Large (41-43mm)
ROL-641,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Folding Clasp Rubber Strap,Rolex;Datejust;Men;?;Stainless Steel;Strap;Rubber;Date
ROL-292,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Jubilee Bracelet,Rolex;Datejust;Unisex;?;Two-Tone;Strap;Steel;Date;Ladies (<33mm)
ROL-262,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Rose Gold Oyster Bracelet,Rolex;Datejust;Men;?;Two-Tone;Strap;Steel-Rosegold;Date;Large (41-43mm)
ROL-798,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel Variants Reference Chart,Rolex;Datejust;Men;Various;Stainless Steel;Strap;Steel;Smooth Bezel;Date;Large (41-43mm)
ROL-744,need_photos,NeedMorePhotos/Rolex/Datejust/Datejust Steel White Diamond Dial Fluted Bezel Jubilee,Rolex;Datejust;Unisex;White;Stainless Steel;Bracelet;Steel;Fluted Bezel;Date;Diamond-Set;Mid (33-36mm)
